title,content,name,fixedphone,mobilephone,duty,belongdep,Email,Intranet_communication,HeadportraitURL,personaldescription,pinyin_name,attention_degree
王显厚,,王显厚,8999,16562555987,总经理,\公司管理\总经理办公室,V2u@infcn.com.cn,V2u@infcn.com.cn,/ESPcontacts/headportrait/manheadp.png,梦里梦外，思念的文字，不知道为你写了多少，抖落下满身的荒芜，如花飞洒，只把柔情缱绻的爱对你诉说，满腹的忧伤轻轻隐藏。,,120
彭梁才,,彭梁才,8996,17548663029,副总经理,\公司管理\总经理办公室,ftiX3HV@infcn.com.cn,ftiX3HV@infcn.com.cn,/ESPcontacts/headportrait/manheadp.png,,,7
田祺旺,,田祺旺,8995,13191459720,总工,\公司管理\总经理办公室,FnsGihkB693X@infcn.com.cn,FnsGihkB693X@infcn.com.cn,/ESPcontacts/headportrait/womanheadp.png,流年无恙，故人在何方，岁月中有多少回眸的叹息，品寂寞，悟人生，写满悲欢千行泪。,,0
郑祯,,郑祯,8993,10694316933,顾问,\公司管理\总经理办公室,12rAqbjX@infcn.com.cn,12rAqbjX@infcn.com.cn,/ESPcontacts/headportrait/manheadp.png,,,32
徐衍帅,,徐衍帅,8997,12370319557,董事会秘书,\公司管理\总经理办公室,qDUhNPVtlM@infcn.com.cn,qDUhNPVtlM@infcn.com.cn,/ESPcontacts/headportrait/manheadp.png,老天给了每个人一条命，一颗心，把命照看好，把心安顿好，人生即是圆满。,,100
姚树香,,姚树香,8711,13761001817,产品副总监,\产品中心\中心管理,rXRLaOEzaD@infcn.com.cn,rXRLaOEzaD@infcn.com.cn,/ESPcontacts/headportrait/manheadp.png,老天给了每个人一条命，一颗心，把命照看好，把心安顿好，人生即是圆满。,,52
王成毅,,王成毅,8713,17018862506,产品经理,\产品中心\技术产品组,gQU2l@infcn.com.cn,gQU2l@infcn.com.cn,/ESPcontacts/headportrait/womanheadp.png,,,40
吴传锋,,吴传锋,8714,18257057877,助理产品经理,\产品中心\技术产品组,SK2UN5X@infcn.com.cn,SK2UN5X@infcn.com.cn,/ESPcontacts/headportrait/womanheadp.png,流年无恙，故人在何方，岁月中有多少回眸的叹息，品寂寞，悟人生，写满悲欢千行泪。,,7
李敏慧,,李敏慧,8715,14352091905,产品经理,\产品中心\业务产品组,qVnTAPInaGE9@infcn.com.cn,qVnTAPInaGE9@infcn.com.cn,/ESPcontacts/headportrait/noheadp.png,,,0
张儒凯,,张儒凯,8911,19943420749,研发总监,\研发中心\中心管理,PLqEYPZo6S55@infcn.com.cn,PLqEYPZo6S55@infcn.com.cn,/ESPcontacts/headportrait/manheadp.png,,,185
季烁东,,季烁东,8912,17606091311,资深研发工程师,\研发中心\基础支撑组,YB8t7rpCGh@infcn.com.cn,YB8t7rpCGh@infcn.com.cn,/ESPcontacts/headportrait/manheadp.png,,,0
张伟强,,张伟强,8913,12674689664,中级研发工程师,\研发中心\基础组件组,JSKXEjpF6@infcn.com.cn,JSKXEjpF6@infcn.com.cn,/ESPcontacts/headportrait/manheadp.png,流年无恙，故人在何方，岁月中有多少回眸的叹息，品寂寞，悟人生，写满悲欢千行泪。,,143
丁海燕,,丁海燕,8915,17590682474,资深研发工程师,\研发中心\词网产品组,evac@infcn.com.cn,evac@infcn.com.cn,/ESPcontacts/headportrait/womanheadp.png,,,112
冯龙,,冯龙,8916,17946133126,中级研发工程师,\研发中心\词网产品组,8HKc6f4s@infcn.com.cn,8HKc6f4s@infcn.com.cn,/ESPcontacts/headportrait/womanheadp.png,,,0
刘勇,,刘勇,8917,17737057616,中级研发工程师,\研发中心\词网产品组,1gT3@infcn.com.cn,1gT3@infcn.com.cn,/ESPcontacts/headportrait/manheadp.png,太用力的爱情，让人看不清内心。用力过度就是不自信，不信任，怕来不及表达自己的情绪，怕没有时间耐心等待。但其实，细水长流，平静而深刻，才更容易看到内心。,,185
陶玉寿,,陶玉寿,8926,13515484037,初级研发工程师,\研发中心\应用支撑组,Cxl6sz@infcn.com.cn,Cxl6sz@infcn.com.cn,/ESPcontacts/headportrait/womanheadp.png,,,59
于周存,,于周存,8929,18892616546,高级研发工程师,\研发中心\应用支撑组,bQA@infcn.com.cn,bQA@infcn.com.cn,/ESPcontacts/headportrait/manheadp.png,老天给了每个人一条命，一颗心，把命照看好，把心安顿好，人生即是圆满。,,0
王松,,王松,8923,10600975322,中级研发工程师,\研发中心\应用支撑组,1qNQUvCCCum@infcn.com.cn,1qNQUvCCCum@infcn.com.cn,/ESPcontacts/headportrait/manheadp.png,,,0
许文江,,许文江,8924,11059290598,高级研发工程师,\研发中心\应用支撑组,K2dlf7Kcz@infcn.com.cn,K2dlf7Kcz@infcn.com.cn,/ESPcontacts/headportrait/noheadp.png,,,141
李欢莉,,李欢莉,8925,16779775146,                 中级研发工程师                ,\研发中心\应用支撑组,xrnX@infcn.com.cn,xrnX@infcn.com.cn,/ESPcontacts/headportrait/manheadp.png,,,52
宣文龙,,宣文龙,8931,11242235331,高级研发工程师,\研发中心\前端开发组,yMLd14IsOy@infcn.com.cn,yMLd14IsOy@infcn.com.cn,/ESPcontacts/headportrait/womanheadp.png,,,0
赵闻,,赵闻,8933,14435205913,前端开发工程师,\研发中心\前端开发组,Wj8ADTsum@infcn.com.cn,Wj8ADTsum@infcn.com.cn,/ESPcontacts/headportrait/manheadp.png,不同的人，即使站在同一个地方，透过各自的人生，看到的风景也有所不同。,,79
李治国,,李治国,8932,15875644002,前端开发工程师,\研发中心\前端开发组,805y0yC@infcn.com.cn,805y0yC@infcn.com.cn,/ESPcontacts/headportrait/manheadp.png,我们不怕目标定得高远，只怕没有追寻的勇气、热情和执著。只要心头时时燃烧着坚定的信念，一往无前地行进下去，就会惊讶地发现：很多所谓的远方其实并不遥远。,,0
沈楚乾,,沈楚乾,8934,13993649273,前端开发工程师,\研发中心\前端开发组,A9nMN1CF@infcn.com.cn,A9nMN1CF@infcn.com.cn,/ESPcontacts/headportrait/noheadp.png,,,12
